epoch,split,total,recon_total,gan_total,final_l1,grad,shadow_removal,shadow_mask,shadow_penumbra,shadow_valid_frac,shadow_no_shadow_frac,shadow_ambiguous_frac,cloud_l1,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_final_l1,w_grad,w_shadow_removal,w_shadow_mask,w_shadow_penumbra,w_cloud_l1,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
33,val,15.389048874378204,14.934549033641815,0.4544998893979937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03538712620502338,0.37986121512949467,0.0,0.0,0.1298571117222309,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.7,7.0,3.5
34,train,16.049094572969917,14.422844498245805,1.6262500985169117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035098553347734755,0.3637663047500108,0.4408367923748346,0.10869292862743998,0.1281134776709747,1.181456359325613,0.3919526651317691,0.7739119290569683,0.015591760506612007,0.8328288820545369,0.7813308365305756,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.75,7.5,3.75
34,val,15.413013368844986,14.915414929389954,0.4975984520278871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03638675290858373,0.37589131854474545,0.0,0.0,0.1326929191709496,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.75,7.5,3.75
35,train,16.07712510976281,14.355277265540856,1.7218478680147555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03431587492272933,0.36412299225114503,0.44076216220855713,0.10683797240456558,0.12863358919635232,1.182042991673505,0.3921147713690628,0.7750667949272282,0.014861422645525984,0.8320174045523498,0.7819999059041342,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.8,8.0,4.0
35,val,15.52927678823471,15.00381225347519,0.5254645103123039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03692631266312674,0.37703936640173197,0.0,0.0,0.13136612757807598,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.8,8.0,4.0
36,train,16.27483632829454,14.456675215513128,1.8181611240645985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03544598321119944,0.3637358969376411,0.44296968939863607,0.10588644605911808,0.12743578665724997,1.177026075100212,0.38959582793859787,0.7722092758971477,0.015220960517846998,0.8410315955126727,0.7891065222000389,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.85,8.5,4.25
36,val,15.718794375658035,15.156585276126862,0.5622090112883598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03803946485277265,0.37842129450291395,0.0,0.0,0.13228447269648314,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.85,8.5,4.25
37,train,16.26085124388644,14.368540355698071,1.8923108943205311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03459763093065823,0.3636259093206115,0.4420836361837976,0.10207704090563113,0.127942724804942,1.181706803325763,0.3942577895313624,0.7720239419996002,0.015425072374960614,0.8298425794628913,0.7801130886185806,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.9,9.0,4.5
37,val,15.360739141702652,14.765370279550552,0.5953688705340028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034320218313951045,0.3777782842516899,0.0,0.0,0.13230419240426272,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.9,9.0,4.5
38,train,16.391496348282928,14.405028994681905,1.986467348695292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03450023477567444,0.3651668489469913,0.4396287764541406,0.10151581046911179,0.1272462780890151,1.1778009337652857,0.389936102883806,0.7727245419849584,0.015140285512811883,0.8398273843551369,0.7871712053754202,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.95,9.5,4.75
38,val,15.575630068778992,14.953775554895401,0.6218545776791871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03557275526691228,0.37988333869725466,0.0,0.0,0.13091675413306803,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.95,9.5,4.75
39,train,16.426290233439378,14.353751849735715,2.0725384190249345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034273685427543554,0.36421277800214635,0.4399440574302595,0.09960177589069914,0.1273153209637222,1.173870984173606,0.3903499488477354,0.7689638630843457,0.014557168994830928,0.8376533384185759,0.7876870521792659,0.0,0.0,0.0,0.0,0.0,100.0,30.0,1.0,10.0,5.0
39,val,15.79380577802658,15.117722809314728,0.6760829174891114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03732676734216511,0.3795015327632427,0.0,0.0,0.13521658343961462,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,1.0,10.0,5.0
